DateTime,Heat_watts
08/29/2010 21:15:00,7742257.445
08/29/2010 21:30:00,7693918.689
08/29/2010 21:45:00,8116617.749
08/29/2010 22:00:00,7657664.622
08/29/2010 22:15:00,8099557.070
08/29/2010 22:30:00,7649608.162
08/29/2010 22:45:00,7629467.014
08/29/2010 23:00:00,7617382.325
08/29/2010 23:15:00,7617382.325
08/29/2010 23:30:00,7601269.406
08/29/2010 23:45:00,8035579.526
08/30/2010 00:00:00,8048375.035
08/30/2010 00:15:00,8027049.187
08/30/2010 00:30:00,8005723.339
08/30/2010 00:45:00,7552930.650
08/30/2010 01:00:00,7532789.502
08/30/2010 01:15:00,7512648.353
08/30/2010 01:30:00,7464309.597
08/30/2010 01:45:00,7456253.138
08/30/2010 02:00:00,7464309.597
08/30/2010 02:15:00,7916154.778
08/30/2010 02:30:00,7484450.745
08/30/2010 02:45:00,7492507.205
08/30/2010 03:00:00,7504591.894
08/30/2010 03:15:00,7975867.152
08/30/2010 03:30:00,7984397.491
08/30/2010 03:45:00,7997193.000
08/30/2010 04:00:00,7984397.491
08/30/2010 04:15:00,7975867.152
08/30/2010 04:30:00,7946010.965
08/30/2010 04:45:00,7916154.778
08/30/2010 05:00:00,7894828.930
08/30/2010 05:15:00,7886298.590
08/30/2010 05:30:00,7864972.742
08/30/2010 05:45:00,7864972.742
08/30/2010 06:00:00,7852177.234
08/30/2010 06:15:00,7852177.234
08/30/2010 06:30:00,7407914.382
08/30/2010 06:45:00,7843646.894
08/30/2010 07:00:00,7852177.234
08/30/2010 07:15:00,7415970.841
08/30/2010 07:30:00,7843646.894
08/30/2010 07:45:00,7822321.046
08/30/2010 08:00:00,7813790.707
08/30/2010 08:15:00,7813790.707
08/30/2010 08:30:00,7813790.707
08/30/2010 08:45:00,7805260.368
08/30/2010 09:00:00,7805260.368
08/30/2010 09:15:00,8070164.889
08/30/2010 09:30:00,7916154.778
08/30/2010 09:45:00,8027049.187
08/30/2010 10:00:00,8341946.650
08/30/2010 10:15:00,8407700.302
08/30/2010 10:30:00,8477837.531
08/30/2010 10:45:00,8530440.453
08/30/2010 11:00:00,8583043.374
08/30/2010 11:15:00,8604961.258
08/30/2010 11:30:00,8635646.296
08/30/2010 11:45:00,8474891.995
08/30/2010 12:00:00,8654029.118
08/30/2010 12:15:00,9157291.935
08/30/2010 12:30:00,9429073.697
08/30/2010 12:45:00,9447350.664
08/30/2010 13:00:00,9889349.261
08/30/2010 13:15:00,10055925.179
08/30/2010 13:30:00,10174281.753
08/30/2010 13:45:00,10288254.750
08/30/2010 14:00:00,10375926.286
08/30/2010 14:15:00,10215081.192
08/30/2010 14:30:00,10266263.227
08/30/2010 14:45:00,10520584.320
08/30/2010 15:00:00,10384693.439
08/30/2010 15:15:00,10301405.480
08/30/2010 15:30:00,10235651.828
08/30/2010 15:45:00,9869602.454
08/30/2010 16:00:00,10047158.026
08/30/2010 16:15:00,9972637.220
08/30/2010 16:30:00,9836746.339
08/30/2010 16:45:00,9678937.574
08/30/2010 17:00:00,9595649.615
08/30/2010 17:15:00,9285274.219
08/30/2010 17:30:00,9306600.067
08/30/2010 17:45:00,9617567.499
08/30/2010 18:00:00,9670170.421
08/30/2010 18:15:00,9396168.629
08/30/2010 18:30:00,9379107.950
08/30/2010 18:45:00,9408964.138
08/30/2010 19:00:00,9408964.138
08/30/2010 19:15:00,9639485.383
08/30/2010 19:30:00,9626334.653
08/30/2010 19:45:00,9336456.254
08/30/2010 20:00:00,9212766.336
08/30/2010 20:15:00,9332635.007
08/30/2010 20:30:00,9271264.932
08/30/2010 20:45:00,9231812.741
08/30/2010 21:00:00,9209894.857
08/30/2010 21:15:00,9209894.857
08/30/2010 21:30:00,9196744.126
08/30/2010 21:45:00,9187976.973
08/30/2010 22:00:00,9196744.126
08/30/2010 22:15:00,8948325.821
08/30/2010 22:30:00,8948325.821
08/30/2010 22:45:00,8961121.330
08/30/2010 23:00:00,9218662.010
08/30/2010 23:15:00,9209894.857
08/30/2010 23:30:00,9157291.935
08/30/2010 23:45:00,9148524.782
08/31/2010 00:00:00,9135374.051
08/31/2010 00:15:00,9135374.051
08/31/2010 00:30:00,8901408.955
08/31/2010 00:45:00,9157291.935
08/31/2010 01:00:00,9166059.089
08/31/2010 01:15:00,8931265.142
08/31/2010 01:30:00,8961121.330
08/31/2010 01:45:00,8969651.669
08/31/2010 02:00:00,8969651.669
08/31/2010 02:15:00,8948325.821
08/31/2010 02:30:00,8901408.955
08/31/2010 02:45:00,8858757.259
08/31/2010 03:00:00,8828901.072
08/31/2010 03:15:00,8816105.563
08/31/2010 03:30:00,8807575.224
08/31/2010 03:45:00,8786249.376
08/31/2010 04:00:00,8769188.698
08/31/2010 04:15:00,8735067.341
08/31/2010 04:30:00,8688150.475
08/31/2010 04:45:00,8654029.118
08/31/2010 05:00:00,8636968.440
08/31/2010 05:15:00,8624172.931
08/31/2010 05:30:00,8602847.083
08/31/2010 05:45:00,8594316.744
08/31/2010 06:00:00,8594316.744
08/31/2010 06:15:00,8555930.218
08/31/2010 06:30:00,8513278.522
08/31/2010 06:45:00,8474891.995
08/31/2010 07:00:00,8402384.112
08/31/2010 07:15:00,8329876.229
08/31/2010 07:30:00,8261633.515
08/31/2010 07:45:00,8197655.971
08/31/2010 08:00:00,8180595.293
08/31/2010 08:15:00,8146473.936
08/31/2010 08:30:00,8129413.258
08/31/2010 08:45:00,8116617.749
08/31/2010 09:00:00,8108087.410
08/31/2010 09:15:00,8385782.418
08/31/2010 09:30:00,8477837.531
08/31/2010 09:45:00,8604961.258
08/31/2010 10:00:00,8718934.255
08/31/2010 10:15:00,8824140.098
08/31/2010 10:30:00,8907428.058
08/31/2010 10:45:00,8977565.286
08/31/2010 11:00:00,9030168.208
08/31/2010 11:15:00,9052086.092
08/31/2010 11:30:00,9082771.130
08/31/2010 11:45:00,9166059.089
08/31/2010 12:00:00,9354552.891
08/31/2010 12:15:00,9543046.694
08/31/2010 12:30:00,9775376.264
08/31/2010 12:45:00,10025240.142
08/31/2010 13:00:00,10213733.944
08/31/2010 13:15:00,10323323.364
08/31/2010 13:30:00,10459214.245
08/31/2010 13:45:00,10586337.972
08/31/2010 14:00:00,10730996.006
08/31/2010 14:15:00,10849352.580
08/31/2010 14:30:00,10849352.580
08/31/2010 14:45:00,10505112.725
08/31/2010 15:00:00,10424074.502
08/31/2010 15:15:00,10372892.467
08/31/2010 15:30:00,10586337.972
08/31/2010 15:45:00,10467981.398
08/31/2010 16:00:00,10393460.593
08/31/2010 16:15:00,10362775.555
08/31/2010 16:30:00,10288254.750
08/31/2010 16:45:00,10204966.790
08/31/2010 17:00:00,10183048.906
08/31/2010 17:15:00,10183048.906
08/31/2010 17:30:00,10213733.944
08/31/2010 17:45:00,10248802.558
08/31/2010 18:00:00,10279487.596
