"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin"
"264",1026.5,6077587,8112587,64542.0000001,387252.0000006,413068.80000064,354981.00000055,381689
"265",1027,6109897,8144897,64696.0000001,388176.0000006,414054.40000064,355828.00000055,382616
"266",1027.5,6142284,8177284,64851,389106,415046.4,356680.5,383543
"267",1028,6174748,8209748,65006.0000001,390036.0000006,416038.40000064,357533.00000055,384470
"268",1028.5,6207289,8242289,65160.0000001,390960.0000006,417024.00000064,358380.00000055,385397
"269",1029,6239908,8274908,65315,391890,418016,359232.5,386325
"270",1029.5,6272604,8307604,65469,392814,419001.6,360079.5,387252
"271",1030,6305377,8340377,65624.0000001,393744.0000006,419993.60000064,360932.00000055,388179
"272",1030.5,6338229,8373229,65784,394704,421017.6,361812,389108
"273",1031,6371161,8406161,65945,395670,422048,362697.5,390039
"274",1031.5,6404174,8439174,66105.0000001,396630.0000006,423072.00000064,363577.50000055,390974
"275",1032,6437266,8472266,66266.0000001,397596.0000006,424102.40000064,364463.00000055,391911
"276",1032.5,6470439,8505439,66425.9999999,398555.9999994,425126.39999936,365342.99999945,392852
"277",1033,6503693,8538693,66586.9999999,399521.9999994,426156.79999936,366228.49999945,393796
"278",1033.5,6537026,8572026,66747,400482,427180.8,367108.5,394742
"279",1034,6570440,8605440,66908,401448,428211.2,367994,395692
"280",1034.5,6603934,8638934,67068.0000001,402408.0000006,429235.20000064,368874.00000055,396645
"281",1035,6637508,8672508,67229.0000001,403374.0000006,430265.60000064,369759.50000055,397600
"282",1035.5,6671163,8706163,67389,404334,431289.6,370639.5,398559
"283",1036,6704897,8739897,67550,405300,432320,371525,399520
"284",1036.5,6738713,8773713,67710.0000001,406260.0000006,433344.00000064,372405.00000055,400484
"285",1037,6772608,8807608,67871.0000001,407226.0000006,434374.40000064,373290.50000055,401447
"286",1037.5,6806583,8841583,68030.9999999,408185.9999994,435398.39999936,374170.49999945,402409
"287",1038,6840639,8875639,68191.9999999,409151.9999994,436428.79999936,375055.99999945,403373
"288",1038.5,6874775,8909775,68352,410112,437452.8,375936,404336
"289",1039,6908992,8943992,68513,411078,438483.2,376821.5,405299
"290",1039.5,6943288,8978288,68672.9999999,412037.9999994,439507.19999936,377701.49999945,406262
"291",1040,6977665,9012665,68833.9999999,413003.9999994,440537.59999936,378586.99999945,407225
"292",1040.5,7012124,9047124,69003,414018,441619.2,379516.5,408190
"293",1041,7046668,9081668,69171,415026,442694.4,380440.5,409160
"294",1041.5,7081296,9116296,69339.9999999,416039.9999994,443775.99999936,381369.99999945,410133
"295",1042,7116008,9151008,69509.0000001,417054.0000006,444857.60000064,382299.50000055,411111
"296",1042.5,7150804,9185804,69677.0000001,418062.0000006,445932.80000064,383223.50000055,412091
"297",1043,7185685,9220685,69846,419076,447014.4,384153,413077
"298",1043.5,7220651,9255651,70014.9999999,420089.9999994,448095.99999936,385082.49999945,414068
"299",1044,7255700,9290700,70184.0000001,421104.0000006,449177.60000064,386012.00000055,415061
"300",1044.5,7290834,9325834,70352.0000001,422112.0000006,450252.80000064,386936.00000055,416059
"301",1045,7326052,9361052,70521,423126,451334.4,387865.5,417060
"302",1045.5,7361355,9396355,70689.9999999,424139.9999994,452415.99999936,388794.99999945,418067
"303",1046,7396742,9431742,70857.9999999,425147.9999994,453491.19999936,389718.99999945,419077
"304",1046.5,7432213,9467213,71027,426162,454572.8,390648.5,420089
"305",1047,7467768,9502768,71196,427176,455654.4,391578,421100
"306",1047.5,7503408,9538408,71364,428184,456729.6,392502,422112
"307",1048,7539138,9574138,71533.0000001,429198.0000006,457811.20000064,393431.50000055,423130
"308",1048.5,7574938,9609938,71702,430212,458892.8,394361,424134
"309",1049,7610838,9645838,71870.9999999,431225.9999994,459974.39999936,395290.49999945,425153
"310",1049.5,7646818,9681818,72038.9999999,432233.9999994,461049.59999936,396214.49999945,426167
"311",1050,7682878,9717878,72208.0000001,433248.0000006,462131.20000064,397144.00000055,427178
"312",1050.5,7719018,9754018,72393,434358,463315.2,398161.5,428184
"313",1051,7755258,9790258,72573.9999999,435443.9999994,464473.59999936,399156.99999945,429206
"314",1051.5,7791588,9826588,72755.0000001,436530.0000006,465632.00000064,400152.50000055,430233
"315",1052,7828018,9863018,72936,437616,466790.4,401148,431276
"316",1052.5,7864528,9899528,73117.0000001,438702.0000006,467948.80000064,402143.50000055,432315
"317",1053,7901128,9936128,73298,439788,469107.2,403139,433360
"318",1053.5,7937828,9972828,73479.0000001,440874.0000006,470265.60000064,404134.50000055,434420
"319",1054,7974608,10009608,73660,441960,471424,405130,435470
"320",1054.5,8011488,10046488,73840.9999999,443045.9999994,472582.39999936,406125.49999945,436550
"321",1055,8048458,10083458,74022,444132,473740.8,407121,437620
"322",1055.5,8085508,10120508,74202.9999999,445217.9999994,474899.19999936,408116.49999945,438690
"323",1056,8122657.99999,10157657.99999,74384,446304,476057.6,409112,439779.99999
"324",1056.5,8159897.99997,10194897.99997,74564.9999999,447389.9999994,477215.99999936,410107.49999945,440879.99997
"325",1057,8197217.99999,10232217.99999,74746.0000001,448476.0000006,478374.40000064,411103.00000055,441959.99999
"326",1057.5,8234638.00002,10269638.00002,74927,449562,479532.8,412098.5,443050.00002
"327",1058,8272148,10307148,75108.0000001,450648.0000006,480691.20000064,413094.00000055,444130
"328",1058.5,8309748,10344748,75289,451734,481849.6,414089.5,445220
"329",1059,8347438.00004,10382438.00004,75470.0000001,452820.0000006,483008.00000064,415085.00000055,446310.00004
"330",1059.5,8385218.00002,10420218.00002,75651,453906,484166.4,416080.5,447390.00002
"331",1060,8423088.00003,10458088.00003,75831.9999999,454991.9999994,485324.79999936,417075.99999945,448480.00003
"332",1060.5,8461047.99999,10496047.99999,76013,456078,486483.2,418071.5,449559.999989999
"333",1061,8499097.99997,10534097.99997,76193.9999999,457163.9999994,487641.59999936,419066.99999945,450639.99997
"334",1061.5,8537247.99997,10572247.99997,76375,458250,488800,420062.5,451739.99997
"335",1062,8575478.00001,10610478.00001,76555.9999999,459335.9999994,489958.39999936,421057.99999945,452820.00002
"336",1062.5,8613798,10648798,76737.0000001,460422.0000006,491116.80000064,422053.50000055,453900.00003
"337",1063,8652218,10687218,76918,461508,492275.2,423049,455000.00001
"338",1063.5,8690717.99996,10725717.99996,77099.0000001,462594.0000006,493433.60000064,424044.50000055,456079.99994
"339",1064,8729308.00003,10764308.00003,77280,463680,494592,425040,457160.00003
"340",1064.5,8767998.00004,10802998.00004,77461.0000001,464766.0000006,495750.40000064,426035.50000055,458250.00004
"341",1065,8806768,10841768,77642,465852,496908.8,427031,459329.99996
"342",1065.5,8845637.99998,10880637.99998,77822.9999999,466937.9999994,498067.19999936,428026.49999945,460419.999960001
"343",1066,8884597.99999,10919597.99999,78004,468024,499225.6,429022,461509.99996
"344",1066.5,8923637.99996,10958637.99996,78184.9999999,469109.9999994,500383.99999936,430017.49999945,462589.99997
"345",1067,8962778.00002,10997778.00002,78366,470196,501542.4,431013,463680.000049999
"346",1067.5,9002008.00003,11037008.00003,78546.9999999,471281.9999994,502700.79999936,432008.49999945,464760.00006
"347",1068,9041327.99999,11076327.99999,78726.9999999,472361.9999994,503852.79999936,432998.49999945,465849.999979999
"348",1068.5,9080737.99998,11115737.99998,78908.0000001,473448.0000006,505011.20000064,433994.00000055,466939.999980001
"349",1069,9120237.99999,11155237.99999,79089,474534,506169.6,434989.5,468019.999989999
"350",1069.5,9159828.00003,11194828.00003,79270.0000001,475620.0000006,507328.00000064,435985.00000055,469110.00007
"351",1070,9199508.00002,11234508.00002,79451,476706,508486.4,436980.5,470199.999989999
"352",1070.5,9239267.99997,11274267.99997,79616.9999999,477701.9999994,509548.79999936,437893.49999945,471269.99993
"353",1071,9279118.00003,11314118.00003,79787,478722,510636.8,438828.5,472350.00003
"354",1071.5,9319047.99997,11354047.99997,79957,479742,511724.8,439763.5,473409.999989999
"355",1072,9359068.00002,11394068.00002,80127.0000001,480762.0000006,512812.80000064,440698.50000055,474470.00003
"356",1072.5,9399178.00002,11434178.00002,80296.9999999,481781.9999994,513900.79999936,441633.49999945,475540.00006
"357",1073,9439367.99998,11474367.99998,80468.0000001,482808.0000006,514995.20000064,442574.00000055,476589.999960002
"358",1073.5,9479647.99996,11514647.99996,80637.9999999,483827.9999994,516083.19999936,443508.99999945,477639.99993
"359",1074,9520007.99999,11555007.99999,80807.9999999,484847.9999994,517171.19999936,444443.99999945,478680
"360",1074.5,9560447.99999,11595447.99999,80978,485868,518259.2,445379,479710.000009999
"361",1075,9600987.99999,11635987.99999,81148,486888,519347.2,446314,480750
"362",1075.5,9641597.99997,11676597.99997,81318.0000001,487908.0000006,520435.20000064,447249.00000055,481769.99994
"363",1076,9682297.99998,11717297.99998,81488.0000001,488928.0000006,521523.20000064,448184.00000055,482789.999960002
"364",1076.5,9723088.00002,11758088.00002,81657.9999999,489947.9999994,522611.19999936,449118.99999945,483820.000049999
"365",1077,9763958.00002,11798958.00002,81828,490968,523699.2,450054,484839.999989999
"366",1077.5,9804917.99997,11839917.99997,81998.9999999,491993.9999994,524793.59999936,450994.49999945,485870
"367",1078,9845958.00004,11880958.00004,82169,493014,525881.6,451929.5,486890.000020001
"368",1078.5,9887087.99997,11922087.99997,82339,494034,526969.6,452864.5,487909.999950001
"369",1079,9928298.00003,11963298.00003,82509,495054,528057.6,453799.5,488930.000049999
"370",1079.5,9969598.00004,12004598.00004,82679.0000001,496074.0000006,529145.60000064,454734.50000055,489950.000080001
"371",1080,10010978,12045978,82848.9999999,497093.9999994,530233.59999936,455669.49999945,490970.000010001
"372",1080.5,10052448,12087448,83007.9,498047.4,531250.56,456543.45,492000.000010001
"373",1081,10093998,12128998,83166.7999999,499000.7999994,532267.51999936,457417.39999945,493010.000010001
"374",1081.5,10135648,12170648,83325.7,499954.2,533284.48,458291.35,494050.00003
"375",1082,10177378,12212378,83484.5999999,500907.5999994,534301.43999936,459165.29999945,495080.000019999
"376",1082.5,10219198,12254198,83643.5,501861,535318.4,460039.25,496109.999980001
"377",1083,10261098,12296098,83802.4000001,502814.4000006,536335.36000064,460913.20000055,497139.999980001
"378",1083.5,10303098,12338098,83961.3,503767.8,537352.32,461787.15,498180.00003
"379",1084,10345178,12380178,84120.2000001,504721.2000006,538369.28000064,462661.10000055,499219.99996
"380",1084.5,10387348,12422348,84279.1,505674.6,539386.24,463535.05,500260.00003
"381",1085,10429608,12464608,84438.0000001,506628.0000006,540403.20000064,464409.00000055,501309.99997
"382",1085.5,10471948,12506948,84596.9,507581.4,541420.16,465282.95,502349.99996
"383",1086,10514388,12549388,84755.8000001,508534.8000006,542437.12000064,466156.90000055,503410
"384",1086.5,10556908,12591908,84914.7,509488.2,543454.08,467030.85,504460
"385",1087,10599518,12634518,85073.6000001,510441.6000006,544471.04000064,467904.80000055,505520
"386",1087.5,10642218,12677218,85232.4999999,511394.9999994,545487.99999936,468778.74999945,506570
"387",1088,10684998,12719998,85391.4000001,512348.4000006,546504.96000064,469652.70000055,507620
"388",1088.5,10727868,12762868,85550.2999999,513301.7999994,547521.91999936,470526.64999945,508670
"389",1089,10770828,12805828,85709.2000001,514255.2000006,548538.88000064,471400.60000055,509730
"390",1089.5,10813878,12848878,85868.0999999,515208.5999994,549555.83999936,472274.54999945,510780
"391",1090,10857008,12892008,86027,516162,550572.8,473148.5,511830
"392",1090.5,10900238,12935238,86185.8999999,517115.3999994,551589.75999936,474022.44999945,512890
"393",1091,10943548,12978548,86344.8,518068.8,552606.72,474896.4,513940
"394",1091.5,10986938,13021938,86503.6999999,519022.1999994,553623.67999936,475770.34999945,514990
"395",1092,11030418,13065418,86662.6,519975.6,554640.64,476644.3,516030
"396",1092.5,11073988,13108988,86821.4999999,520928.9999994,555657.59999936,477518.24999945,517080
"397",1093,11117638,13152638,86980.4,521882.4,556674.56,478392.2,518120
"398",1093.5,11161378,13196378,87139.2999999,522835.7999994,557691.51999936,479266.14999945,519160
"399",1094,11205208,13240208,87298.2,523789.2,558708.48,480140.1,520210
"400",1094.5,11249118,13284118,87457.0999999,524742.5999994,559725.43999936,481014.04999945,521250
"401",1095,11293118,13328118,87616.0629805,525696.377883,560742.8030752,481888.34639275,522290
"402",1095.5,11336955.1197,13371955.1197,87761.0532729,526566.3196374,561670.74094656,482685.79300095,523077.1197
"403",1096,11380872.8075,13415872.8075,87923.7290096,527542.3740576,562711.86566144,483580.5095528,523864.807499999
"404",1096.5,11424872.4439,13459872.4439,88069.7401398,528418.4408388,563646.33689472,484383.5707689,524634.4439
"405",1097,11468946.2475,13503946.2475,88240.769955,529444.61973,564740.927712,485324.2347525,525398.247500001
"406",1097.5,11513107.0817,13548107.0817,88399.7762586,530398.6575516,565758.56805504,486198.7694223,526169.081700001
"407",1098,11557346.9917,13592346.9917,88574.128722,531444.772332,566874.4238208,487157.707971,526928.991699999
"408",1098.5,11601673.6576,13636673.6576,88726.5688626,532359.4131756,567850.04072064,487996.1287443,527685.657600001
"409",1099,11646067.2685,13681067.2685,88904.0578249,533424.3469494,568985.97007936,488972.31803695,528429.2685
"410",1099.5,11690576.8854,13725576.8854,89117.5339873,534705.2039238,570352.21751872,490146.43693015,529198.885399999
"411",1100,11735176.0511,13770176.0511,89299.8655946,535799.1935676,571519.13980544,491149.2607703,529968.051100001
