Date,Elevation (feet),Storage (af),Evaporation (af),Inflow** (cfs),Unregulated Inflow*** (cfs),Power Release (cfs),Bypass Release (cfs),Spillway Release (cfs),Total Release (cfs),
18-Aug-63, ,137400,0,3803,6474, , , ,1030, 
19-Aug-63, ,145400,0,4413,6054, , , ,1010, 
20-Aug-63, ,152400,0,3993,5462, , , ,980, 
21-Aug-63, ,156400,0,3852,5026, , , ,980, 
22-Aug-63, ,161400,0,3775,4398, , , ,990, 
23-Aug-63, ,165400,0,3445,4151, , , ,990, 
24-Aug-63, ,172400,0,4313,5224, , , ,990, 
25-Aug-63, ,176400,0,4543,5984, , , ,990, 
26-Aug-63, ,181400,0,5118,5326, , , ,990, 
27-Aug-63, ,192400,0,5852,7005, , , ,1000, 
28-Aug-63, ,201400,0,5469,5615, , , ,1000, 
29-Aug-63, ,212400,0,7130,7409, , , ,1000, 
30-Aug-63, ,223400,0,6948,7910, , , ,1100, 
31-Aug-63, ,246400,0,10445,11446, , , ,1020, 
1-Sep-63, ,278400,0,12983,14275, , , ,1000, 
2-Sep-63, ,299400,0,11504,12558, , , ,1000, 
3-Sep-63, ,320400,0,11991,13530, , , ,1000, 
4-Sep-63, ,339400,0,10041,10512, , , ,1000, 
5-Sep-63, ,348400,0,6406,7432, , , ,1000, 
6-Sep-63, ,360400,0,7419,7967, , , ,990, 
7-Sep-63, ,374400,0,8021,8990, , , ,990, 
8-Sep-63, ,386400,0,6894,7904, , , ,1000, 
9-Sep-63, ,393400,0,5815,6910, , , ,1000, 
10-Sep-63, ,400400,0,6355,7620, , , ,1010, 
11-Sep-63, ,412400,0,7498,8507, , , ,1010, 
12-Sep-63, ,420400,0,6423,7585, , , ,1020, 
13-Sep-63, ,429400,0,6256,7727, , , ,1030, 
14-Sep-63, ,434400,0,4768,5914, , , ,1030, 
15-Sep-63, ,444400,0,5858,7031, , , ,1030, 
16-Sep-63, ,449400,0,4389,5723, , , ,1010, 
17-Sep-63, ,456400,0,4952,6345, , , ,1010, 
18-Sep-63, ,461400,0,4466,5296, , , ,1010, 
19-Sep-63, ,469400,0,5145,6061, , , ,1010, 
20-Sep-63, ,476400,0,4713,5419, , , ,1010, 
21-Sep-63, ,486400,0,5380,6050, , , ,1010, 
22-Sep-63, ,491400,0,4977,5541, , , ,1010, 
23-Sep-63, ,498400,0,6493,7242, , , ,1010, 
24-Sep-63, ,508400,0,5955,6620, , , ,1000, 
25-Sep-63, ,513400,0,4314,5114, , , ,1000, 
26-Sep-63, ,518400,0,4232,5451, , , ,1000, 
27-Sep-63, ,523400,0,4547,6754, , , ,1000, 
28-Sep-63, ,528400,0,4201,6446, , , ,1000, 
29-Sep-63, ,533400,0,4001,6116, , , ,1000, 
30-Sep-63, ,536400,0,3394,6256, , , ,1000, 
1-Oct-63, ,541400,0,3784,5304, , , ,1000, 
2-Oct-63, ,544400,0,3156,5020, , , ,1000, 
3-Oct-63, ,546400,0,2803,4644, , , ,1000, 
4-Oct-63, ,549400,0,3008,4564, , , ,1000, 
5-Oct-63, ,551400,0,2718,4254, , , ,1000, 
6-Oct-63, ,554400,0,2962,4245, , , ,1000, 
7-Oct-63, ,556400,0,2611,3548, , , ,1000, 
8-Oct-63, ,561400,0,3313,4282, , , ,1000, 
9-Oct-63, ,561400,0,1936,2685, , , ,1000, 
10-Oct-63, ,561400,0,1936,2542, , , ,1000, 
11-Oct-63, ,564400,0,2698,3204, , , ,1000, 
12-Oct-63, ,564400,0,1915,2499, , , ,1000, 
13-Oct-63, ,566400,0,2427,3014, , , ,1000, 
14-Oct-63, ,566400,0,1893,2506, , , ,1000, 
15-Oct-63, ,566400,0,1942,2629, , , ,1000, 
16-Oct-63, ,569400,0,2745,3170, , , ,1000, 
17-Oct-63, ,569400,0,1941,2031, , , ,1000, 
18-Oct-63, ,571400,0,2507,2737, , , ,1000, 
19-Oct-63, ,574400,0,2799,3015, , , ,1000, 
20-Oct-63, ,577400,0,3020,3313, , , ,1000, 
21-Oct-63, ,584400,0,4326,4717, , , ,1000, 
22-Oct-63, ,589400,0,4708,5024, , , ,1000, 
23-Oct-63, ,597400,0,5249,5590, , , ,1000, 
24-Oct-63, ,605400,0,5460,5694, , , ,1000, 
25-Oct-63, ,613400,0,5119,6354, , , ,1000, 
26-Oct-63, ,618400,0,4241,5548, , , ,1000, 
27-Oct-63, ,620400,0,3353,4197, , , ,1000, 
28-Oct-63, ,626400,0,4403,5251, , , ,1000, 
29-Oct-63, ,631400,0,4051,4731, , , ,1000, 
30-Oct-63, ,639400,0,4778,5490, , , ,1000, 
31-Oct-63, ,644400,0,4201,4680, , , ,1000, 
1-Nov-63, ,649400,0,4186,4801, , , ,1000, 
2-Nov-63, ,654400,0,4193,4665, , , ,1000, 
3-Nov-63, ,660400,0,4629,5174, , , ,1000, 
4-Nov-63, ,665400,0,4443,4931, , , ,1000, 
5-Nov-63, ,670400,0,4419,4815, , , ,1000, 
6-Nov-63, ,675400,0,4409,4900, , , ,1000, 
7-Nov-63, ,678400,0,3933,4103, , , ,1000, 
8-Nov-63, ,683400,0,4526,5185, , , ,1000, 
9-Nov-63, ,691400,0,5256,5796, , , ,1000, 
10-Nov-63, ,697400,0,4827,5438, , , ,1000, 
11-Nov-63, ,705400,0,5457,6091, , , ,1000, 
12-Nov-63, ,710400,0,4549,4879, , , ,1000, 
13-Nov-63, ,715400,0,4548,5096, , , ,1000, 
14-Nov-63, ,721400,0,4676,5463, , , ,1000, 
15-Nov-63, ,729400,0,5113,4712, , , ,1000, 
16-Nov-63, ,734400,0,4378,4752, , , ,1010, 
17-Nov-63, ,745400,0,6078,6611, , , ,1000, 
18-Nov-63, ,756400,0,6210,6869, , , ,1000, 
19-Nov-63, ,761400,0,4650,5276, , , ,1000, 
20-Nov-63, ,766400,0,4659,5413, , , ,1000, 
21-Nov-63, ,772400,0,4779,5349, , , ,1000, 
22-Nov-63, ,780400,0,5193,5535, , , ,1000, 
23-Nov-63, ,785400,0,4353,4757, , , ,1000, 
24-Nov-63, ,794400,0,5481,5982, , , ,1000, 
25-Nov-63, ,799400,0,4565,4830, , , ,1000, 
26-Nov-63, ,805400,0,4881,4805, , , ,1000, 
27-Nov-63, ,810400,0,4497,4663, , , ,1000, 
28-Nov-63, ,818400,0,5297,5494, , , ,1000, 
29-Nov-63, ,824400,0,4853,4958, , , ,1000, 
30-Nov-63, ,829400,0,4525,4794, , , ,1000, 
1-Dec-63, ,835400,0,4668,4937, , , ,1000, 
2-Dec-63, ,840400,0,4400,4572, , , ,1010, 
3-Dec-63, ,846400,0,4615,4668, , , ,1020, 
4-Dec-63, ,851400,0,4245,4264, , , ,1030, 
5-Dec-63, ,857400,0,4492,4563, , , ,1030, 
6-Dec-63, ,860400,0,3664,3654, , , ,1030, 
7-Dec-63, ,865400,0,4029,4216, , , ,1030, 
8-Dec-63, ,871400,0,4207,4560, , , ,1030, 
9-Dec-63, ,876400,0,3782,3634, , , ,1030, 
10-Dec-63, ,882400,0,3985,3756, , , ,1030, 
11-Dec-63, ,885400,0,3253,2978, , , ,1030, 
12-Dec-63, ,887400,0,3045,2501, , , ,1030, 
13-Dec-63, ,890400,0,3320,2892, , , ,1030, 
14-Dec-63, ,893400,0,3351,2992, , , ,1030, 
15-Dec-63, ,896400,0,3266,2820, , , ,1030, 
16-Dec-63, ,899400,0,3130,2793, , , ,1030, 
17-Dec-63, ,899400,0,2347,1541, , , ,1030, 
18-Dec-63, ,901400,0,2980,2218, , , ,1020, 
19-Dec-63, ,904400,0,3356,2320, , , ,1020, 
20-Dec-63, ,910400,0,4386,3280, , , ,1020, 
21-Dec-63, ,913400,0,3792,2857, , , ,1020, 
22-Dec-63, ,918400,0,4456,3612, , , ,1020, 
23-Dec-63, ,924400,0,4811,3895, , , ,1030, 
24-Dec-63, ,927400,0,4252,3790, , , ,1030, 
25-Dec-63, ,932400,0,4664,4403, , , ,1030, 
26-Dec-63, ,938400,0,4754,4201, , , ,1030, 
27-Dec-63, ,946400,0,5170,4910, , , ,1030, 
28-Dec-63,3409,953200,133,4739,4552,0, , ,980, 
29-Dec-63,3409.2,958800,134,4416,4137,0, , ,980, 
30-Dec-63,3409.4,964300,134,4587,4157,0, , ,980, 
31-Dec-63,3409.6,969900,134,4546,4094,0, , ,980, 
1-Jan-64,3409.8,975500,24,4533,4119,0, , ,980, 
2-Jan-64,3410,981100,24,4416,3712,0, , ,980, 
3-Jan-64,3410.2,986700,24,4502,4151,0, , ,980, 
4-Jan-64,3410.4,992400,24,4541,4131,0, , ,980, 
5-Jan-64,3410.6,998000,25,4454,3992,0, , ,980, 
6-Jan-64,3410.8,1003600,25,4552,3737,0, , ,980, 
7-Jan-64,3411,1009300,25,4414,3609,0, , ,980, 
8-Jan-64,3411.2,1014900,25,4383,3903,0, , ,980, 
9-Jan-64,3411.3,1017800,25,3627,3047,0, , ,990, 
10-Jan-64,3411.5,1023400,25,4388,3910,0, , ,990, 
11-Jan-64,3411.7,1029100,25,4287,3545,0, , ,990, 
12-Jan-64,3411.8,1031900,25,3295,2396,0, , ,990, 
13-Jan-64,3411.9,1034800,25,3301,2406,0, , ,990, 
14-Jan-64,3412,1037600,25,3351,2643,0, , ,990, 
15-Jan-64,3412,1037600,25,2708,2059,0, , ,990, 
16-Jan-64,3412.1,1040500,25,3245,2478,0, , ,990, 
17-Jan-64,3412.2,1043300,25,3143,2719,0, , ,990, 
18-Jan-64,3412.3,1046200,25,3225,2429,0, , ,990, 
19-Jan-64,3412.4,1049000,25,3377,2775,0, , ,990, 
20-Jan-64,3412.5,1051900,25,3556,3007,0, , ,990, 
21-Jan-64,3412.7,1057600,26,4348,3600,0, , ,990, 
22-Jan-64,3412.9,1063300,26,4568,3701,0, , ,990, 
23-Jan-64,3413.1,1069000,26,4634,3909,0, , ,990, 
24-Jan-64,3413.3,1074800,26,4813,4052,0, , ,1000, 
25-Jan-64,3413.5,1080500,26,4930,4251,0, , ,1000, 
26-Jan-64,3413.7,1086200,26,4715,3927,0, , ,1000, 
27-Jan-64,3414,1094900,26,5284,4950,0, , ,1000, 
28-Jan-64,3414.2,1100700,26,4364,3679,0, , ,1000, 
29-Jan-64,3414.4,1106400,26,4487,4121,0, , ,1140, 
30-Jan-64,3414.5,1109300,26,4680,4186,0, , ,2950, 
31-Jan-64,3414.6,1112200,26,5219,4585,0, , ,3970, 
1-Feb-64,3414.6,1112200,26,4394,4081,0, , ,3970, 
2-Feb-64,3414.6,1112200,26,4398,4026,0, , ,3970, 
3-Feb-64,3414.6,1112200,26,4374,3826,0, , ,3990, 
4-Feb-64,3414.6,1112200,26,4349,3785,0, , ,4030, 
5-Feb-64,3414.5,1109300,26,3642,3260,0, , ,4030, 
6-Feb-64,3414.5,1109300,26,4385,3649,0, , ,4030, 
7-Feb-64,3414.5,1109300,26,4366,3982,0, , ,4030, 
8-Feb-64,3414.5,1109300,26,4270,4059,0, , ,4010, 
9-Feb-64,3414.5,1109300,26,4321,3859,0, , ,3990, 
10-Feb-64,3414.4,1106400,26,3575,3090,0, , ,3990, 
11-Feb-64,3414.4,1106400,26,4302,3569,0, , ,3990, 
12-Feb-64,3414.4,1106400,26,4307,3924,0, , ,3990, 
13-Feb-64,3414.4,1106400,26,4400,3779,0, , ,3990, 
14-Feb-64,3414.4,1106400,26,4376,4097,0, , ,3990, 
15-Feb-64,3414.4,1106400,26,4532,3950,0, , ,3990, 
16-Feb-64,3414.4,1106400,26,4446,4085,0, , ,3990, 
17-Feb-64,3414.5,1109300,26,5242,4611,0, , ,3990, 
18-Feb-64,3414.5,1109300,26,4455,3698,0, , ,3990, 
19-Feb-64,3414.5,1109300,26,4655,4497,0, , ,4010, 
20-Feb-64,3414.5,1109300,26,4642,4131,0, , ,4010, 
21-Feb-64,3414.5,1109300,26,4667,4235,0, , ,4010, 
22-Feb-64,3414.5,1109300,26,4629,4029,0, , ,4010, 
23-Feb-64,3414.5,1109300,26,4555,4038,0, , ,4010, 
24-Feb-64,3414.6,1112200,26,5238,5027,0, , ,3990, 
25-Feb-64,3414.6,1112200,26,4415,3776,0, , ,3990, 
26-Feb-64,3414.7,1115100,26,5205,4596,0, , ,4010, 
27-Feb-64,3414.7,1115100,26,4492,3991,0, , ,4060, 
28-Feb-64,3414.8,1118000,26,5223,4969,0, , ,4080, 
29-Feb-64,3414.8,1118000,26,4401,3844,0, , ,4100, 
1-Mar-64,3414.8,1118000,48,4223,4099,0, , ,4030, 
2-Mar-64,3414.8,1118000,48,4188,3772,0, , ,4010, 
3-Mar-64,3414.8,1118000,48,4271,3731,0, , ,4010, 
4-Mar-64,3414.8,1118000,48,4288,3943,0, , ,4010, 
5-Mar-64,3414.8,1118000,48,4349,3934,0, , ,4010, 
6-Mar-64,3414.8,1118000,48,4404,3849,0, , ,4030, 
7-Mar-64,3414.8,1118000,48,4356,4129,0, , ,4030, 
8-Mar-64,3414.8,1118000,48,4415,4476,0, , ,4010, 
9-Mar-64,3414.8,1118000,48,4381,4402,0, , ,4010, 
10-Mar-64,3414.9,1120900,48,5045,4798,0, , ,4030, 
11-Mar-64,3414.9,1120900,48,4290,4040,0, , ,4030, 
12-Mar-64,3414.9,1120900,48,4290,3901,0, , ,4030, 
13-Mar-64,3414.9,1120800,48,4201,4283,0, , ,4050, 
14-Mar-64,3414.9,1120800,48,4233,3866,0, , ,4050, 
15-Mar-64,3414.9,1120800,48,4167,4319,0, , ,4050, 
16-Mar-64,3414.9,1120800,48,4293,4083,0, , ,4050, 
17-Mar-64,3414.9,1120800,48,4324,4182,0, , ,4050, 
18-Mar-64,3414.9,1120800,48,4261,4506,0, , ,4050, 
19-Mar-64,3414.9,1120800,48,4363,4370,0, , ,4050, 
20-Mar-64,3414.9,1120800,48,4446,4510,0, , ,4050, 
21-Mar-64,3414.9,1120800,48,4508,4552,0, , ,4050, 
22-Mar-64,3414.9,1120800,48,4486,4393,0, , ,4050, 
23-Mar-64,3414.9,1120800,48,4488,4696,0, , ,4050, 
24-Mar-64,3414.9,1120800,48,4471,4858,0, , ,4050, 
25-Mar-64,3414.9,1120800,48,4515,4873,0, , ,4050, 
26-Mar-64,3414.9,1120800,48,5868,6018,0, , ,6480, 
27-Mar-64,3414.6,1112100,48,6874,7333,0, , ,12800, 
28-Mar-64,3413.6,1083300,47,4655,5286,0, , ,18900, 
29-Mar-64,3412.8,1060300,46,6201,6663,0, , ,19000, 
30-Mar-64,3411.8,1031800,45,4738,4969,0, , ,19100, 
31-Mar-64,3410.8,1003500,44,4528,4790,0, , ,18600, 
1-Apr-64,3409.9,978200,83,4176,4772,0, , ,16700, 
2-Apr-64,3409.1,955800,82,5182,5124,0, , ,16900, 
3-Apr-64,3408.4,936300,81,5732,6047,0, , ,16000, 
4-Apr-64,3407.7,917000,80,4200,4723,0, , ,12300, 
5-Apr-64,3407,897700,79,4542,6152,0, , ,12200, 
6-Apr-64,3407,897700,79,9624,11426,0, , ,12200, 
7-Apr-64,3406.8,892200,78,8111,10060,0, , ,12200, 
8-Apr-64,3406.4,881200,78,6648,8373,0, , ,12200, 
9-Apr-64,3406.1,873100,77,7462,8832,0, , ,12200, 
10-Apr-64,3406,870300,77,8635,9738,0, , ,12200, 
11-Apr-64,3405.3,851300,76,4257,5803,0, , ,12200, 
12-Apr-64,3405,843200,76,6878,8174,0, , ,12100, 
13-Apr-64,3404.6,832400,75,6058,7147,0, , ,12100, 
14-Apr-64,3404.2,821600,75,5989,7433,0, , ,12100, 
15-Apr-64,3403.8,810800,74,6029,7478,0, , ,12100, 
16-Apr-64,3403.2,794800,73,4781,6594,0, , ,12000, 
17-Apr-64,3402.7,781400,72,5037,6640,0, , ,11500, 
18-Apr-64,3402.3,770800,72,5428,7334,0, , ,10700, 
19-Apr-64,3402,762900,71,6575,7904,0, , ,10700, 
20-Apr-64,3401.7,754900,71,7203,8700,0, , ,10800, 
21-Apr-64,3401.4,747000,70,7658,10106,0, , ,10800, 
22-Apr-64,3401.2,741800,70,8142,11145,0, , ,10800, 
23-Apr-64,3401,736500,70,7880,11202,0, , ,10800, 
24-Apr-64,3400.8,731300,69,7781,10686,0, , ,10800, 
25-Apr-64,3400.5,723400,69,7274,10215,0, , ,10800, 
26-Apr-64,3400.3,718200,69,8263,11131,0, , ,10800, 
27-Apr-64,3400.2,715600,69,10586,13165,0, , ,13400, 
28-Apr-64,3399.8,705100,68,12366,14961,0, , ,20000, 
29-Apr-64,3399,684400,67,9008,12447,0, , ,19600, 
30-Apr-64,3398.2,663700,66,8230,10825,0, , ,19300, 
1-May-64,3397.4,643200,63,6930,9279,0, , ,17000, 
2-May-64,3396.7,625400,62,5516,7994,0, , ,12700, 
3-May-64,3396.5,620300,61,9024,11001,0, , ,12500, 
4-May-64,3396.1,610200,61,9001,10873,0, , ,13000, 
5-May-64,3395.8,602600,60,10535,13436,0, , ,13900, 
6-May-64,3395.6,597600,60,10257,12727,0, , ,13000, 
7-May-64,3395.4,592500,60,9504,11682,0, , ,12800, 
8-May-64,3395.1,585000,59,8604,11370,0, , ,12500, 
9-May-64,3394.8,577500,59,8826,10841,0, , ,12500, 
10-May-64,3394.6,572500,58,9665,11584,0, , ,12500, 
11-May-64,3394.5,570000,58,7656,10090,0, , ,8100, 
12-May-64,3395,582500,59,7471,9922,0, , ,1060, 
13-May-64,3395.5,595000,60,7251,8991,0, , ,1020, 
