"","Decade","TenYearReleaseRnd","TenYearDiffRnd"
"1634","2006 to 2015",3.1,-79.4
"1635","2006 to 2015",3.1,-79.4
"1636","2006 to 2015",3.1,-79.4
"1637","2006 to 2015",3.1,-79.4
"1638","2006 to 2015",3.1,-79.4
"1639","2006 to 2015",3.1,-79.4
"1640","2006 to 2015",3.1,-79.4
"1641","2006 to 2015",3.1,-79.4
"1642","2006 to 2015",3.1,-79.4
"1643","2006 to 2015",3.1,-79.4
"1644","2007 to 2016",3.3,-79.2
"1645","2007 to 2016",3.3,-79.2
"1646","2007 to 2016",3.3,-79.2
"1647","2007 to 2016",3.3,-79.2
"1648","2007 to 2016",3.3,-79.2
"1649","2007 to 2016",3.2,-79.3
"1650","2007 to 2016",3.2,-79.3
"1651","2007 to 2016",3.2,-79.3
"1652","2007 to 2016",3.2,-79.3
"1653","2007 to 2016",3.2,-79.3
"1654","2007 to 2016",3.2,-79.3
"1655","2007 to 2016",3.2,-79.3
"1656","2007 to 2016",3.2,-79.3
"1657","2007 to 2016",3.2,-79.3
"1658","2007 to 2016",3.2,-79.3
"1659","2007 to 2016",3.2,-79.3
"1660","2007 to 2016",3.2,-79.3
"1661","2007 to 2016",3.2,-79.3
"1662","2007 to 2016",3.2,-79.3
"1663","2007 to 2016",3.1,-79.4
"1664","2007 to 2016",3.1,-79.4
"1665","2007 to 2016",3.1,-79.4
"1666","2007 to 2016",3.1,-79.4
"1667","2007 to 2016",3.1,-79.4
"1668","2007 to 2016",3.1,-79.4
"1669","2007 to 2016",3.1,-79.4
"1670","2007 to 2016",3.1,-79.4
"1671","2007 to 2016",3.1,-79.4
"1672","2007 to 2016",3.1,-79.4
"1673","2007 to 2016",3.1,-79.4
"1674","2007 to 2016",3.1,-79.4
"1675","2008 to 2017",3.1,-79.4
"1676","2008 to 2017",3.1,-79.4
"1677","2008 to 2017",3.1,-79.4
"1678","2008 to 2017",3.1,-79.4
"1679","2008 to 2017",3.1,-79.4
"1680","2008 to 2017",3.1,-79.4
"1681","2008 to 2017",3.1,-79.4
"1682","2008 to 2017",3.1,-79.4
"1683","2008 to 2017",3.1,-79.4
"1684","2008 to 2017",3.1,-79.4
"1685","2008 to 2017",3.1,-79.4
"1686","2008 to 2017",3.1,-79.4
"1687","2008 to 2017",3.1,-79.4
"1688","2008 to 2017",3,-79.5
"1689","2008 to 2017",3,-79.5
"1690","2008 to 2017",3,-79.5
"1691","2008 to 2017",3,-79.5
"1692","2008 to 2017",3,-79.5
"1693","2008 to 2017",3,-79.5
"1694","2008 to 2017",3,-79.5
"1695","2008 to 2017",3,-79.5
"1696","2008 to 2017",3,-79.5
"1697","2008 to 2017",3,-79.5
"1698","2008 to 2017",3,-79.5
"1699","2008 to 2017",3,-79.5
"1700","2008 to 2017",3,-79.5
"1701","2008 to 2017",3,-79.5
"1702","2008 to 2017",3,-79.5
"1703","2008 to 2017",3,-79.5
"1704","2008 to 2017",3,-79.5
"1705","2008 to 2017",3,-79.5
"1706","2009 to 2018",3.1,-79.4
"1707","2009 to 2018",3.1,-79.4
"1708","2009 to 2018",3.1,-79.4
"1709","2009 to 2018",3.1,-79.4
"1710","2009 to 2018",3.1,-79.4
"1711","2009 to 2018",3.1,-79.4
"1712","2009 to 2018",3.1,-79.4
"1713","2009 to 2018",3.1,-79.4
"1714","2009 to 2018",3.1,-79.4
"1715","2009 to 2018",3.1,-79.4
"1716","2009 to 2018",3.1,-79.4
"1717","2009 to 2018",3.1,-79.4
"1718","2009 to 2018",3.1,-79.4
"1719","2009 to 2018",3.1,-79.4
"1720","2009 to 2018",3.1,-79.4
"1721","2009 to 2018",3.1,-79.4
"1722","2009 to 2018",3,-79.5
"1723","2009 to 2018",3,-79.5
"1724","2009 to 2018",3,-79.5
"1725","2009 to 2018",3,-79.5
"1726","2009 to 2018",3,-79.5
"1727","2009 to 2018",3,-79.5
"1728","2009 to 2018",3,-79.5
"1729","2009 to 2018",3,-79.5
"1730","2009 to 2018",3,-79.5
"1731","2009 to 2018",3,-79.5
"1732","2009 to 2018",3,-79.5
"1733","2009 to 2018",3,-79.5
"1734","2009 to 2018",3,-79.5
"1735","2009 to 2018",3,-79.5
"1736","2009 to 2018",3,-79.5
"1737","2010 to 2019",3.2,-79.3
"1738","2010 to 2019",3.1,-79.4
"1739","2010 to 2019",3.1,-79.4
"1740","2010 to 2019",3.1,-79.4
"1741","2010 to 2019",3.1,-79.4
"1742","2010 to 2019",3.1,-79.4
"1743","2010 to 2019",3.1,-79.4
"1744","2010 to 2019",3.1,-79.4
"1745","2010 to 2019",3.1,-79.4
"1746","2010 to 2019",3.1,-79.4
"1747","2010 to 2019",3.1,-79.4
"1748","2010 to 2019",3.1,-79.4
"1749","2010 to 2019",3.1,-79.4
"1750","2010 to 2019",3.1,-79.4
"1751","2010 to 2019",3.1,-79.4
"1752","2010 to 2019",3.1,-79.4
"1753","2010 to 2019",3.1,-79.4
"1754","2010 to 2019",3.1,-79.4
"1755","2010 to 2019",3,-79.5
"1756","2010 to 2019",3,-79.5
"1757","2010 to 2019",3,-79.5
"1758","2010 to 2019",3,-79.5
"1759","2010 to 2019",3,-79.5
"1760","2010 to 2019",3,-79.5
"1761","2010 to 2019",3,-79.5
"1762","2010 to 2019",3,-79.5
"1763","2010 to 2019",3,-79.5
"1764","2010 to 2019",3,-79.5
"1765","2010 to 2019",3,-79.5
"1766","2010 to 2019",3,-79.5
"1767","2010 to 2019",3,-79.5
"1768","2011 to 2020",2.8,-79.7
"1769","2011 to 2020",2.8,-79.7
"1770","2011 to 2020",2.8,-79.7
"1771","2011 to 2020",2.8,-79.7
"1772","2011 to 2020",2.8,-79.7
"1773","2011 to 2020",2.8,-79.7
"1774","2011 to 2020",2.8,-79.7
"1775","2011 to 2020",2.8,-79.7
"1776","2011 to 2020",2.8,-79.7
"1777","2011 to 2020",2.8,-79.7
"1778","2011 to 2020",2.8,-79.7
"1779","2011 to 2020",2.8,-79.7
"1780","2011 to 2020",2.8,-79.7
"1781","2011 to 2020",2.8,-79.7
"1782","2011 to 2020",2.8,-79.7
"1783","2011 to 2020",2.8,-79.7
"1784","2011 to 2020",2.8,-79.7
"1785","2011 to 2020",2.8,-79.7
"1786","2011 to 2020",2.8,-79.7
"1787","2011 to 2020",2.8,-79.7
"1788","2011 to 2020",2.8,-79.7
"1789","2011 to 2020",2.8,-79.7
"1790","2011 to 2020",2.8,-79.7
"1791","2011 to 2020",2.8,-79.7
"1792","2011 to 2020",2.8,-79.7
"1793","2011 to 2020",2.8,-79.7
"1794","2011 to 2020",2.8,-79.7
"1795","2011 to 2020",2.8,-79.7
"1796","2011 to 2020",2.8,-79.7
"1797","2011 to 2020",2.7,-79.8
"1798","2011 to 2020",2.7,-79.8
